sample_name	age	age_group	age_unit	altitude	anonymized_name	antibiotics	bcs	bcs_grouping	body_habitat	body_product	body_site	breed	breed_grouping	collection_date	collection_timestamp	country	crude_fiber_1000kcalg_me_group	depth	description	dewormed	disease_stat	dna_extracted	elevation	emp_status	env_biome	env_feature	g_fat_1000kcal_me_group	g_protein_1000kcal_me_group	gender_specific	has_extracted_data	has_physical_specimen	histo	host_common_name	host_scientific_name	host_subject_id	host_taxid	indiv_g_fat_1000kcal_me_group	indiv_g_protein_1000kcal_me_group	indoor_outdoor	latitude	longitude	perc_crude_protein_min_group	percent_crude_fat_min_group	percent_crude_fiber_max_group	percent_met_cal_carb_group	percent_met_cal_fat_group	percent_met_cal_protein_group	physical_location	physical_specimen_location	physical_specimen_remaining	prebotic_source	protein_source	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_type	scientific_name	sex	size_grouping	state	state_us	title	tot_mass	travel_history	weight_group	weight_kg
833.RVC11	7.0	3.0	years	0	RVC11	definite_yes			UBERON:feces	UBERON:feces	UBERON:feces	Basset_Hound	Hound	1/30/12	1/30/12	GAZ:United Kingdom	20_45	0	IBD2_RVC11_H5_R.K.1.20.12		IBD	true	371.43	NOT_EMP	ENVO:urban biome	ENVO:animal-associated habitat	20_35	62_85	FS	true	true	large	domestic dog	Canis lupus familiaris	RVC11	9615	34.0	63.0		55.38	-3.44	26_35	14_20	1_5	38_45	15_24	27_38	CCME	Texas A&M	false		chicken	false				833	unknown		female	medium			Suchodolski_dog_ibd	19.5		2.0	19.5
833.RVC12	1.0	1.0	years	0	RVC12	definite_yes			UBERON:feces	UBERON:feces	UBERON:feces	Mixed_Breed	Mixed	1/30/12	1/30/12	GAZ:United Kingdom	1_10	0	IBD2_RVC12_H6_R.K.1.20.12		IBD	true	371.43	NOT_EMP	ENVO:urban biome	ENVO:animal-associated habitat	20_35	40_61	M	true	true	small	domestic dog	Canis lupus familiaris	RVC12	9615	25.0	106.0		55.38	-3.44	26_35	5_13	6_15	46_55	15_24	15_20	CCME	Texas A&M	false		chicken	false				833	unknown		male				Suchodolski_dog_ibd	20.6		2.0	20.6
833.RVC14	2.0	1.0	years	0	RVC14	definite_no			UBERON:feces	UBERON:feces	UBERON:feces	Labrador_Retriever	Sporting	1/30/12	1/30/12	GAZ:United Kingdom		0	IBD2_RVC14_H7_R.K.1.20.12		IBD	true	371.43	NOT_EMP	ENVO:urban biome	ENVO:animal-associated habitat			MC	true	true	small	domestic dog	Canis lupus familiaris	RVC14	9615	25.6	51.7		55.38	-3.44	21_25	5_13	1_5				CCME	Texas A&M	false		hydrolyzed	false				833	unknown		male	large			Suchodolski_dog_ibd	28.4		3.0	28.4
833.RVC15	5.0	2.0	years	0	RVC15	definite_no			UBERON:feces	UBERON:feces	UBERON:feces	Border_Collie	Working	1/30/12	1/30/12	GAZ:United Kingdom	1_10	0	IBD2_RVC15_H8_R.K.1.20.12		IBD	true	371.43	NOT_EMP	ENVO:urban biome	ENVO:animal-associated habitat	20_35	40_61	M	true	true	large	domestic dog	Canis lupus familiaris	RVC15	9615				55.38	-3.44				46_55	15_24	15_20	CCME	Texas A&M	false		chicken	false				833	unknown		male	medium			Suchodolski_dog_ibd	14.5		2.0	14.5
833.RVC16	1.5	1.0	years	0	RVC16	definite_yes			UBERON:feces	UBERON:feces	UBERON:feces	Cocker_Spaniel	Sporting	1/30/12	1/30/12	GAZ:United Kingdom	1_10	0	IBD2_RVC16_H9_R.K.1.20.12		IBD	true	371.43	NOT_EMP	ENVO:urban biome	ENVO:animal-associated habitat	20_35	62_85	M	true	true	small	domestic dog	Canis lupus familiaris	RVC16	9615	25.6	51.7		55.38	-3.44	21_25	5_13	1_5	46_55	25_35	21_26	CCME	Texas A&M	false		hydrolyzed	false				833	unknown		male	medium			Suchodolski_dog_ibd	14.8		2.0	14.8
833.RVC19	4.0	2.0	years	0	RVC19	definite_yes			UBERON:feces	UBERON:feces	UBERON:feces	Tibetan_Terrier	Terrier	1/30/12	1/30/12	GAZ:United Kingdom	1_10	0	IBD2_RVC19_H11_R.K.1.20.12		IBD	true	371.43	NOT_EMP	ENVO:urban biome	ENVO:animal-associated habitat	20_35	40_61	MC	true	true		domestic dog	Canis lupus familiaris	RVC19	9615	25.6	51.7		55.38	-3.44	21_25	5_13	1_5	46_55	15_24	15_20	CCME	Texas A&M	false		hydrolyzed	false				833	unknown		male	medium			Suchodolski_dog_ibd	12.1		2.0	12.1
833.RVC20	2.0	1.0	years	0	RVC20	definite_no			UBERON:feces	UBERON:feces	UBERON:feces	Boxer	Working	1/30/12	1/30/12	GAZ:United Kingdom	1_10	0	IBD2_RVC20_H12_R.K.1.20.12		IBD	true	371.43	NOT_EMP	ENVO:urban biome	ENVO:animal-associated habitat	20_35	40_61	M	true	true		domestic dog	Canis lupus familiaris	RVC20	9615	25.6	51.7		55.38	-3.44	21_25	5_13	1_5	46_55	15_24	15_20	CCME	Texas A&M	false		hydrolyzed	false				833	unknown		male	medium			Suchodolski_dog_ibd	25.3		3.0	25.3
833.Sweden.HC.1	4.0	2.0	years	0	Sweden.HC.1	definite_no	5.0	1_4	UBERON:feces	UBERON:feces	UBERON:feces	Mixed_Breed	Mixed	1/30/12	1/30/12	GAZ:Sweden	1_10	0	IBD1_Sweden_HC 1_F3_R.K.1.20.12	true	healthy	true	13.02	NOT_EMP	ENVO:urban biome	ENVO:animal-associated habitat	36_50	62_85	F	true	true		domestic dog	Canis lupus familiaris	Sweden.HC.1	9615	37.59	66.15	indoor	60.13	18.64	21_25	5_13	1_5	46_55	15_24	27_38	CCME	Texas A&M	false	FOS 0.4%	chicken	false				833	unknown		female				Suchodolski_dog_ibd	26.0	false	3.0	26.0
833.Sweden.HC.11	5.0	2.0	years	0	Sweden.HC.11	definite_no			UBERON:feces	UBERON:feces	UBERON:feces	Flat_Coated_Retriever	Sporting	1/30/12	1/30/12	GAZ:Sweden	1_10	0	IBD1_Sweden_HC 11_F10_R.K.1.20.12	true	healthy	true	13.02	NOT_EMP	ENVO:urban biome	ENVO:animal-associated habitat	36_50	62_85	F	true	true		domestic dog	Canis lupus familiaris	Sweden.HC.11	9615	40.0	62.0	indoor	60.13	18.64	21_25	14_20	1_5	38_45	25_35	21_26	CCME	Texas A&M	false		chicken	false				833	unknown		female	large			Suchodolski_dog_ibd	30.0	false	3.0	30.0
833.Sweden.HC.12	6.0	3.0	years	0	Sweden.HC.12	definite_no			UBERON:feces	UBERON:feces	UBERON:feces	Belgium_Shepherd_Tervuren	Working	1/30/12	1/30/12	GAZ:Sweden	1_10	0	IBD1_Sweden_HC 12_F11_R.K.1.20.12	true	healthy	true	13.02	NOT_EMP	ENVO:urban biome	ENVO:animal-associated habitat	36_50	62_85	F	true	true		domestic dog	Canis lupus familiaris	Sweden.HC.12	9615	40.0	63.0	indoor	60.13	18.64	21_25	14_20	1_5	38_45	25_35	21_26	CCME	Texas A&M	false		chicken	false				833	unknown		female	large			Suchodolski_dog_ibd	23.0	false	3.0	23.0
