	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S294	L3S313	L3S341	L3S360	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L2S204	0.8438738072718234	0.8359794544176655	0.8706806415220487	0.8658619959531216	0.8708442899175541	0.8853740297021516	0.8588202249281154	0.8553048881738756	0.40506287847967504	0.4617514841775203	0.0	0.3395350236775426	0.7075435119238557	0.31885162462527267	0.5256103601024564	0.7020589515781962	0.43805700449957014	0.6256708504730618	0.5018533424690986	0.38529000343663716	0.8435099418897793	0.3293539945390864	0.678484363947669	0.5686004719548967	0.7219581973852502	0.7856870980812752	0.7940535337888454	0.7554543635090855	0.7829070705962694	0.7858303072654927	0.7914967836066708	0.7645815250144551	0.7825346406184879
L2S222	0.8369744207223104	0.8507201305599474	0.8679656746001041	0.8672466520489094	0.8833324265085929	0.8896815938058771	0.8647408836203244	0.8666987495527503	0.44677668625204675	0.47593255519322447	0.3395350236775426	0.0	0.718926269708771	0.40559789800056906	0.6031857045476966	0.6871478054396205	0.5290879331370603	0.6791314881565761	0.6100941843218733	0.4298452350919836	0.8582592239253544	0.4048979745063113	0.685783896662147	0.5555224588578483	0.7555336956008687	0.8082564426964373	0.8053758457319202	0.7707241258191683	0.7960398440367276	0.8087906257447618	0.7914566276262595	0.7679035649507813	0.7992025087228851
L2S240	0.7718560298739038	0.7296431897473171	0.802827696797822	0.7957216686579797	0.8404947323483878	0.8546121997857082	0.8169565716546897	0.7781293940631738	0.6904382794596754	0.6136539706556574	0.7075435119238557	0.718926269708771	0.0	0.6706636437368272	0.5646121070792584	0.47160215139156214	0.5720278219635633	0.4872064855693476	0.5082495262136938	0.7181271539593369	0.7405593709210463	0.6880973212831126	0.4645772933734239	0.7978711916528359	0.3590293206107393	0.39195897507839306	0.3418116374233459	0.301255866190283	0.34050461289902334	0.39171407676094505	0.3598688655747625	0.32097536687080724	0.4193115989020407
L2S309	0.8307791725623845	0.7998229262589094	0.8649632780811124	0.8383423023927129	0.8579948751451681	0.8764005281738289	0.8476736265961357	0.8148538347254176	0.37982582930242165	0.41095615628989157	0.31885162462527267	0.40559789800056906	0.6706636437368272	0.0	0.49205914541096807	0.6806285446404511	0.3973462916164516	0.6177602271823381	0.5471095570283611	0.358074747451891	0.8090879535390084	0.35942328930682005	0.6558632800139762	0.5566420867903529	0.6774979865310676	0.7479803405306339	0.7605017479229357	0.7202499392251	0.7470710331027787	0.7490507074623141	0.7621454278831996	0.7403821149993901	0.7500725505494851
L2S357	0.8229791733403712	0.7992714050777988	0.8222902406682959	0.8106680526243802	0.8365370782516249	0.846968536120755	0.8122790622566408	0.7779224386122144	0.6100572319681175	0.6051681051446489	0.5256103601024564	0.6031857045476966	0.5646121070792584	0.49205914541096807	0.0	0.6208806508699576	0.5504577219408173	0.49593867119056384	0.41508851354600096	0.578252478214943	0.798610553516412	0.5530490818034023	0.5703470938678014	0.7271244184314368	0.5470259109489011	0.6512181847628457	0.6763864623370728	0.6108981245647045	0.6549713310796612	0.6526065555461635	0.6818495949640656	0.6428860504823763	0.6524910994052502
L2S382	0.8332335575718326	0.8076439922256349	0.8586534615686477	0.8439359221407406	0.8826086805279411	0.900737982325381	0.8675732505443536	0.8495970467423529	0.68572337318034	0.5872239547229731	0.7020589515781962	0.6871478054396205	0.47160215139156214	0.6806285446404511	0.6208806508699576	0.0	0.6368258766454526	0.5969408521291479	0.5971800532048046	0.7431366040472567	0.8285575422088787	0.6766768610480779	0.23877572786356802	0.7853847347844644	0.6218896968202722	0.6684625296916787	0.586346475375803	0.5759997045123225	0.6193644012209402	0.6640671473146584	0.5874237149263611	0.5573414890533553	0.5886955227120338
L3S294	0.8416661707708477	0.8179220843828707	0.8722680748425523	0.8595873913545177	0.8841722909179324	0.8951450887180485	0.8656892269130502	0.8446389275004976	0.4680076752155294	0.42887232293814215	0.43805700449957014	0.5290879331370603	0.5720278219635633	0.3973462916164516	0.5504577219408173	0.6368258766454526	0.0	0.5702658068491594	0.5431825002832107	0.4194846873309585	0.8190823769149019	0.5000458595086543	0.6209233487587033	0.6722052453365603	0.5688219623280545	0.6598496025139503	0.6641877885686027	0.6476001558109016	0.6539376476446397	0.6620336852897449	0.6852533197450614	0.6745105497844552	0.6733218203626951
L3S313	0.7314458153961325	0.7038592442363152	0.801526902801928	0.7896818169165393	0.8164121170219901	0.8294059112952429	0.7883990314976272	0.744110020052735	0.6402476041267362	0.5260686203136417	0.6256708504730618	0.6791314881565761	0.4872064855693476	0.6177602271823381	0.49593867119056384	0.5969408521291479	0.5702658068491594	0.0	0.43368941442514336	0.7169065698426441	0.7161008140657069	0.6730843239124285	0.5546942470782618	0.7736599275788597	0.5407707602547474	0.5093276459464043	0.5545341147998596	0.5252752368396831	0.5798505164253757	0.5125332292548187	0.5884368972564202	0.5672456091637839	0.5626729781296947
L3S341	0.7462006670866357	0.746951889671365	0.7924616228187795	0.7928898920248307	0.7949123077695326	0.8145715458399757	0.7700662002946042	0.7535499386449253	0.6137766453804434	0.5665174110165374	0.5018533424690986	0.6100941843218733	0.5082495262136938	0.5471095570283611	0.41508851354600096	0.5971800532048046	0.5431825002832107	0.43368941442514336	0.0	0.6146861642822328	0.7338618064448041	0.5569037783592654	0.5741217774232216	0.7211185773391429	0.5072082398148406	0.5996491938613431	0.6276493282184321	0.5526717016630186	0.6176128536344198	0.6015034958305878	0.6420980257473962	0.6088232431088312	0.6302461765171272
L3S360	0.8871505246386453	0.8670929265204129	0.8949816021146132	0.8664435628272137	0.8933188323956286	0.9011553278951802	0.8685637941543103	0.842342606282847	0.4382256418264578	0.5267672748513079	0.38529000343663716	0.4298452350919836	0.7181271539593369	0.358074747451891	0.578252478214943	0.7431366040472567	0.4194846873309585	0.7169065698426441	0.6146861642822328	0.0	0.8699883939780404	0.46577950719678207	0.7146629801993059	0.6400902623089778	0.7122952021643976	0.7802544101795819	0.7893583770316382	0.7427724835088303	0.7840645238819951	0.7804609111640887	0.786062597807351	0.77236205942743	0.7810607614539038
L3S378	0.5329980526729499	0.30229407496973376	0.5283737056935696	0.5107544868125347	0.45835388478836164	0.522532492553603	0.5033544030600232	0.5317191444757368	0.8611444187970043	0.8232408023664963	0.8435099418897793	0.8582592239253544	0.7405593709210463	0.8090879535390084	0.798610553516412	0.8285575422088787	0.8190823769149019	0.7161008140657069	0.7338618064448041	0.8699883939780404	0.0	0.8491630690110484	0.814957293753565	0.9081708940439442	0.7059392406506227	0.6623023506286515	0.7095552215946416	0.7137657981360063	0.7365413426718651	0.660481119841998	0.7379925712258892	0.7328509219735535	0.7298628153744809
L4S112	0.8433702657726687	0.8362234859217436	0.8609853614749348	0.859980817848554	0.8648123237210623	0.8789935906465577	0.8696004248586482	0.8620233312368698	0.4290314557113591	0.4688101536604371	0.3293539945390864	0.4048979745063113	0.6880973212831126	0.35942328930682005	0.5530490818034023	0.6766768610480779	0.5000458595086543	0.6730843239124285	0.5569037783592654	0.46577950719678207	0.8491630690110484	0.0	0.6361610636098014	0.5282407890228491	0.716516989126343	0.7859996800833954	0.7821425965011389	0.7418637587828387	0.7727460713851516	0.786122152199006	0.7767608276256572	0.751733066452061	0.7634784399750627
L4S137	0.82104691846624	0.7933792120583736	0.853070456257984	0.8388503924508678	0.8731928511541474	0.8936120505137549	0.8626750781993323	0.8411074721980829	0.6690615383657565	0.5787301807828299	0.678484363947669	0.685783896662147	0.4645772933734239	0.6558632800139762	0.5703470938678014	0.23877572786356802	0.6209233487587033	0.5546942470782618	0.5741217774232216	0.7146629801993059	0.814957293753565	0.6361610636098014	0.0	0.7623276855223491	0.6004664350324482	0.6558132996438254	0.585181195063916	0.5419737217187051	0.6150535540799333	0.6345901587873714	0.5710149615129017	0.5132306294317565	0.557796880907403
L4S63	0.8889051643530166	0.8946738449632383	0.9152739803157706	0.9142140009688303	0.9219241445779773	0.9296124871993885	0.9150406623384842	0.9100852022279113	0.589065423722175	0.6221064329607778	0.5686004719548967	0.5555224588578483	0.7978711916528359	0.5566420867903529	0.7271244184314368	0.7853847347844644	0.6722052453365603	0.7736599275788597	0.7211185773391429	0.6400902623089778	0.9081708940439442	0.5282407890228491	0.7623276855223491	0.0	0.8103653661954044	0.8566614986513102	0.8515460994854039	0.8312388959591048	0.8454043301716339	0.856104950478796	0.8455577874292596	0.8368756872974644	0.8405548452920621
L5S104	0.7331179629025605	0.7438474494809797	0.8047876460207284	0.7997490503701172	0.8270371755449475	0.8309933999619608	0.795536439869828	0.7478737667788519	0.7198962829825338	0.6897707595673931	0.7219581973852502	0.7555336956008687	0.3590293206107393	0.6774979865310676	0.5470259109489011	0.6218896968202722	0.5688219623280545	0.5407707602547474	0.5072082398148406	0.7122952021643976	0.7059392406506227	0.716516989126343	0.6004664350324482	0.8103653661954044	0.0	0.2676392642159685	0.29674305134147444	0.3321597536699488	0.25139266587904946	0.25840114491637084	0.3854217397216059	0.34206475957475513	0.3398452922240146
L5S155	0.6973670420998234	0.715524410723362	0.7825708075340692	0.7774983055974047	0.8066775600470262	0.8071092769982608	0.7648716303756935	0.7010800361395568	0.783224463558512	0.7070646585294894	0.7856870980812752	0.8082564426964373	0.39195897507839306	0.7479803405306339	0.6512181847628457	0.6684625296916787	0.6598496025139503	0.5093276459464043	0.5996491938613431	0.7802544101795819	0.6623023506286515	0.7859996800833954	0.6558132996438254	0.8566614986513102	0.2676392642159685	0.0	0.21102306313953803	0.25128953007168414	0.24339943205768294	0.0876948506617313	0.3463440357823743	0.35163839552736365	0.3234920504617993
L5S174	0.7378908839332359	0.7496957790671241	0.7809079627835245	0.7788677237621539	0.8323070920824788	0.8375728139876986	0.8016503420707788	0.7495699319549961	0.7810137411267715	0.7046646628574552	0.7940535337888454	0.8053758457319202	0.3418116374233459	0.7605017479229357	0.6763864623370728	0.586346475375803	0.6641877885686027	0.5545341147998596	0.6276493282184321	0.7893583770316382	0.7095552215946416	0.7821425965011389	0.585181195063916	0.8515460994854039	0.29674305134147444	0.21102306313953803	0.0	0.20314717826676132	0.23046967399553414	0.222158832806152	0.21375599628118933	0.21603231977390086	0.28173306619648003
L5S203	0.7402977111068675	0.7252738331770908	0.777175244796444	0.7763445753977406	0.8226166763474522	0.8325264892741306	0.7978491163245183	0.7513585946583867	0.7466866765848414	0.6642949612614879	0.7554543635090855	0.7707241258191683	0.301255866190283	0.7202499392251	0.6108981245647045	0.5759997045123225	0.6476001558109016	0.5252752368396831	0.5526717016630186	0.7427724835088303	0.7137657981360063	0.7418637587828387	0.5419737217187051	0.8312388959591048	0.3321597536699488	0.25128953007168414	0.20314717826676132	0.0	0.3036621393199746	0.2713600959302344	0.27301741951500064	0.2194416296749123	0.31936947189553716
L5S222	0.7567202694293848	0.7704887392416442	0.8064694051672476	0.7908312831320166	0.8529944759425687	0.8555572188394938	0.8204758560181589	0.770278015189684	0.7700454357192227	0.7263800685665043	0.7829070705962694	0.7960398440367276	0.34050461289902334	0.7470710331027787	0.6549713310796612	0.6193644012209402	0.6539376476446397	0.5798505164253757	0.6176128536344198	0.7840645238819951	0.7365413426718651	0.7727460713851516	0.6150535540799333	0.8454043301716339	0.25139266587904946	0.24339943205768294	0.23046967399553414	0.3036621393199746	0.0	0.27729848905692117	0.3236192152089916	0.3027933375806807	0.3343615329127911
L5S240	0.6955467441243676	0.7112407035652261	0.7724729905860377	0.7788681541740956	0.8019457118823768	0.8083421751253635	0.7666647070153203	0.7084638512401279	0.7823819383295869	0.6888621920751866	0.7858303072654927	0.8087906257447618	0.39171407676094505	0.7490507074623141	0.6526065555461635	0.6640671473146584	0.6620336852897449	0.5125332292548187	0.6015034958305878	0.7804609111640887	0.660481119841998	0.786122152199006	0.6345901587873714	0.856104950478796	0.25840114491637084	0.0876948506617313	0.222158832806152	0.2713600959302344	0.27729848905692117	0.0	0.3445737847384202	0.3002513930687312	0.2999852900213066
L6S20	0.7549095747223578	0.7608532292464255	0.7931539067593977	0.78640832255907	0.8346027197939325	0.8485681310622939	0.8113248027327138	0.7766993315709039	0.7573285237608348	0.6993588012245885	0.7914967836066708	0.7914566276262595	0.3598688655747625	0.7621454278831996	0.6818495949640656	0.5874237149263611	0.6852533197450614	0.5884368972564202	0.6420980257473962	0.786062597807351	0.7379925712258892	0.7767608276256572	0.5710149615129017	0.8455577874292596	0.3854217397216059	0.3463440357823743	0.21375599628118933	0.27301741951500064	0.3236192152089916	0.3445737847384202	0.0	0.182089316853395	0.28315237597555604
L6S68	0.757415471355189	0.7624149401913369	0.7882657126721153	0.7835764558684668	0.8354194148213111	0.8470948596996465	0.8150646508280083	0.7730431237478564	0.7554479603620496	0.6610018423004197	0.7645815250144551	0.7679035649507813	0.32097536687080724	0.7403821149993901	0.6428860504823763	0.5573414890533553	0.6745105497844552	0.5672456091637839	0.6088232431088312	0.77236205942743	0.7328509219735535	0.751733066452061	0.5132306294317565	0.8368756872974644	0.34206475957475513	0.35163839552736365	0.21603231977390086	0.2194416296749123	0.3027933375806807	0.3002513930687312	0.182089316853395	0.0	0.2577024056848266
L6S93	0.751705499642738	0.7597564644019509	0.8061243714439866	0.8033113790013745	0.8327651142922256	0.8424498260853984	0.810268959099872	0.7678350569434955	0.7706287329304157	0.6709132315055109	0.7825346406184879	0.7992025087228851	0.4193115989020407	0.7500725505494851	0.6524910994052502	0.5886955227120338	0.6733218203626951	0.5626729781296947	0.6302461765171272	0.7810607614539038	0.7298628153744809	0.7634784399750627	0.557796880907403	0.8405548452920621	0.3398452922240146	0.3234920504617993	0.28173306619648003	0.31936947189553716	0.3343615329127911	0.2999852900213066	0.28315237597555604	0.2577024056848266	0.0
